RAM ADDRESS  |   ACTION   |          BINARY
-------------|------------|    TAG  |  INDEX |BLOCKOFFSET  
-------------|------------|---------|--------|---------------

     781            w           10000     11          01
     231            m           01110     01          11
     91             w           00101     10          11
     292            r           10010     01          00
     43             w           00010     10          11
     916            w           11001     01          00
     51             m           00011     00          11
     949            w           11011     01          01
     254            w           01111     11          10
     141            m           01000     11          01
     226            w           01110     00          10
     830            r           10011     11          10
     819            w           10011     00          11
     987            w           11101     10          11
     950            m           11011     01          10
     122            m           00111     10          10
     600            w           00101     10          00
     650            m           01000     10          10
     800            w           10010     00          00
     615            w           00110     01          11
     611            w           00110     00          11
     300            r           10010     11          00
     311            m           10011     01          11
     201            m           01100     10          01
     553            r           00010     10          01
     597            m           00101     01          01
     563            r           00011     00          11
     677            w           01010     01          01
     488            w           11110     10          00
     285            w           10001     11          01
     754            m           01111     00          10
     198            m           01100     01          10
     446            m           11011     11          10
     929            m           11010     00          01
     886            r           10111     01          10
     59             r           00011     10          11
     48             w           00011     00          00
     386            m           11000     00          10
     357            m           10110     01          01
     215            w           01101     01          11
     164            m           01010     01          00
     612            m           00110     01          00
     647            r           01000     01          11
     944            w           11011     00          00
     487            r           11110     01          11
     112            w           00111     00          00
     844            r           10100     11          00
     417            m           11010     00          01
     167            w           01010     01          11
     723            m           01101     00          11
     324            r           10100     01          00
     456            r           11100     10          00
     506            m           11111     10          10
     61             w           00011     11          01
     421            r           11010     01          01
     8              w           00000     10          00
     470            m           11101     01          10
     355            r           10110     00          11
     968            r           11100     10          00
     904            w           11000     10          00
     406            m           11001     01          10
     894            r           10111     11          10
     940            m           11010     11          00
     306            r           10011     00          10
     635            r           00111     10          11
     713            m           01100     10          01
     114            m           00111     00          10
     565            m           00011     01          01
     41             r           00010     10          01
     262            w           10000     01          10
     735            r           01101     11          11
     643            w           01000     00          11
     806            m           10010     01          10
     1018           m           11111     10          10
     989            r           11101     11          01
     852            w           10101     01          00
     863            m           10101     11          11
     1004           w           11110     11          00
     762            m           01111     10          10
     418            m           11010     00          10
     675            w           01010     00          11
     555            m           00010     10          11
     231            r           01110     01          11
     171            r           01010     10          11
     805            w           10010     01          01
     901            m           11000     01          01
     507            r           11111     10          11
     113            r           00111     00          01
     510            m           11111     11          10
     720            m           01101     00          00
     174            m           01010     11          10
     61             w           00011     11          01
     425            r           11010     10          01
     869            m           10110     01          01
     30             r           00001     11          10
     280            r           10001     10          00
     133            r           01000     01          01
